"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","LCSC"
"C1","1","4.7uF","","","","PCM_JLCPCB:C_0603","C19666"
"C2","1","10uF","","","","PCM_JLCPCB:C_0805","C15850"
"C3,C4,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16","13","100nF","","","","PCM_JLCPCB:C_0603","C14663"
"C5","1","1uF","","","","PCM_JLCPCB:C_0603","C15849"
"L1","1","4u7","","","","Inductor_SMD:L_APV_ANR3015","C7427089"
"LED1,LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10","10","~","","","","my_custom_footyprints:WS2812_2020","C965555"
"R1","1","470kΩ","","","","PCM_JLCPCB:R_0603","C23178"
"R2","1","150kΩ","","","","PCM_JLCPCB:R_0603","C22807"
"R3,R6,R7","3","100kΩ","","","","PCM_JLCPCB:R_0603","C25803"
"R4,R5","2","1kΩ","","","","PCM_JLCPCB:R_0603","C21190"
"S1","1","Tactile Button, 160gf","","","","PCM_JLCPCB:SW_TS-1088-AR02016","C720477"
"SW1","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_PCM12","C778186"
"U1","1","MCP1640B","","","","Package_TO_SOT_SMD:SOT-23-6","C478087"
"U4","1","STM8S003F3P6TR","","","","PCM_JLCPCB:TSSOP-20_4.4x6.5mm_P0.65mm","C52717"
