Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_0603,1,4.7uF,C19666
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C4, C6, C7, C8, C9",C_0603,16,100nF,C14663
C2,C_0805,1,10uF,C15850
C3,C_0603,1,1nF,C1588
C5,C_0603,1,1uF,C15849
L1,L_APV_ANR3015,1,4u7,C7427089
"LED1, LED10, LED11, LED12, LED13, LED14, LED2, LED3, LED4, LED5, LED6, LED7, LED8, LED9",WS2812_2020,14,~,C965555
R1,R_0603,1,470kΩ,C23178
R2,R_0603,1,150kΩ,C22807
"R3, R6, R7",R_0603,3,100kΩ,C25803
R4,R_0603,1,10Ω,C22859
R5,R_0603,1,1kΩ,C21190
S1,SW_TS-1088-AR02016,1,"Tactile Button, 160gf",C720477
SW1,SW_SPDT_PCM12,1,SW_SPDT,C778186
U1,SOT-23-6,1,MCP1640B,C478087
U4,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM8S003F3P6TR,C52717
