Designator,Mid X,Mid Y,Rotation,Layer
C1,190.5,-86.5,90.0,bottom
C10,220.1675,-71.6,90.0,bottom
C11,223.5,-98.6,90.0,bottom
C12,199.8,-66.4,90.0,bottom
C13,200.685,-91.75,90.0,bottom
C14,194.0,-81.0,90.0,bottom
C15,233.5,-88.4,90.0,bottom
C16,188.3,-100.5,0.0,bottom
C17,198.8,-120.1,270.0,bottom
C18,176.5,-120.5,90.0,bottom
C19,235.8,-112.0,90.0,bottom
C2,188.0,-90.0,270.0,bottom
C20,220.9,-118.9,90.0,bottom
C3,197.2,-89.5,90.0,bottom
C4,215.0,-62.0,90.0,bottom
C5,188.3,-98.0,0.0,bottom
C6,188.3,-96.5,180.0,bottom
C7,194.6,-105.8,90.0,bottom
C8,182.7825,-103.75,90.0,bottom
C9,218.6,-83.5,90.0,bottom
J1,209.5,-100.3,0.0,bottom
L1,193.8,-85.5,180.0,bottom
LED1,199.8,-66.6,180.0,top
LED10,223.5,-98.5,180.0,top
LED11,198.8,-120.1,180.0,top
LED12,176.4175,-120.65,180.0,top
LED13,235.8,-112.0,180.0,top
LED14,220.9,-118.9,180.0,top
LED2,191.915,-81.45,180.0,top
LED3,200.585,-91.95,180.0,top
LED4,182.7825,-103.75,180.0,top
LED5,194.6,-105.8,180.0,top
LED6,215.0,-62.0,180.0,top
LED7,220.085,-71.45,180.0,top
LED8,218.5,-83.5,180.0,top
LED9,233.5,-89.0,180.0,top
R1,190.5,-90.0,270.0,bottom
R2,190.5,-93.5,270.0,bottom
R3,192.5,-93.5,270.0,bottom
R4,194.0,-117.5,90.0,bottom
R5,196.5,-93.5,270.0,bottom
R6,194.5,-93.5,90.0,bottom
R7,188.3,-102.0,0.0,bottom
S1,190.1,-122.2,0.0,bottom
SW1,229.3,-123.9,0.0,bottom
U1,193.7,-89.5,180.0,bottom
U2,242.10781476878356,-120.7556836346384,100.0,bottom
U4,194.5,-99.5,90.0,bottom
